"学校名","别名"
塔勒顿州立大学,"塔勒顿州立大学,Tarleton State University"
太平洋路德大学,"太平洋路德大学,Pacific Lutheran University"
田纳西州立大学,"田纳西州立大学,Tennessee State University"
托罗大学,"托罗大学,Touro University,Touro College"
太平洋大学（俄勒冈州）,"太平洋大学（俄勒冈州）,Pacific University,美国太平洋大学,University of the Pacific"
塔科马社区学院,"塔科马社区学院,Tacoma Community College"
檀香山夏曼纳德大学,"檀香山夏曼纳德大学,Chaminade University of Honolulu"
托马斯大学,"托马斯大学,Thomas University"
托马斯杰弗逊法学院,"托马斯杰弗逊法学院,Thomas Jefferson School of Law"
托马斯杰弗逊大学,"托马斯杰弗逊大学,Thomas Jefferson University"
太平洋健康与科学学院,"太平洋健康与科学学院,Pacific College of Health and Science"
特拉华社区技术学院,"特拉华社区技术学院,Delaware Technical Community College"
托科阿瀑布学院,"托科阿瀑布学院,Toccoa Falls College"
田纳西大学马丁分校,"田纳西大学马丁分校,The University of Tennessee at Martin,University of Tennessee,UT,The University of Tennessee"
陶森大学,"陶森大学,Towson University,美国陶森大学"
太平洋大学（加利福尼亚州）,"太平洋大学（加利福尼亚州）,University of the Pacific,美国太平洋大学"
坦帕大学,"坦帕大学,The University of Tampa,美国坦帕大学"
特尔学院,"特尔学院,Thiel College"
太平洋诸州大学,"太平洋诸州大学,Pacific States University"
太平洋联合学院,"太平洋联合学院,Pacific Union College"
托马斯阿奎那斯学院,"托马斯阿奎那斯学院,Thomas Aquinas College"
田纳西大学查塔努加分校,"田纳西大学查塔努加分校,The University of Tennessee at Chattanooga"
特洛伊大学,"特洛伊大学,Troy University,美国特洛伊大学,TROY,TroyUniversity"
特拉华州立大学,"特拉华州立大学,Delaware State University,美国特拉华州立大学"
田纳西大学健康医学中心,"田纳西大学健康医学中心,The University of Tennessee Health Science Center,University of Tennessee,UT,The University of Tennessee"
托马斯爱迪生州立大学,"托马斯爱迪生州立大学,Thomas Edison State University"
特拉华谷大学,"特拉华谷大学,Delaware Valley University"
天主教神学联盟,"天主教神学联盟,Catholic Theological Union"
陶格鲁学院,"陶格鲁学院,Tougaloo College"
特里夫卡拿撒勒大学,"特里夫卡拿撒勒大学,Trevecca Nazarene University"
Won研究学院,"Won研究学院,The Won Institute of Graduate Studies"
维克技术社区学院,"维克技术社区学院,Wake Technical Community College,Wake Tech"
温斯顿萨勒姆州立大学,"温斯顿萨勒姆州立大学,Winston-Salem State University"
威廉姆森学院,"威廉姆森学院,Williamson College"
瓦利堡州立大学,"瓦利堡州立大学,Fort Valley State University"
沃尔什大学,"沃尔什大学,Walsh University"
威斯蒙特学院,"威斯蒙特学院,Westmont College"
沃恩航空科技学院,"沃恩航空科技学院,Vaughn College of Aeronautics and Technology,Vaughn C"
维利学院,"维利学院,Wiley College"
五系大学,"五系大学,Five Branches University, Graduate School of Traditional Chinese Medicine"
威尔克斯大学,"威尔克斯大学,Wilkes University"
威廉凯瑞大学,"威廉凯瑞大学,William Carey University"
沃特伯格学院,"沃特伯格学院,Wartburg College"
威明顿大学,"威明顿大学,Wilmington University"
卫斯理大学,"卫斯理大学,Wesleyan University"
温斯洛普大学,"温斯洛普大学,Winthrop University"
韦兰浸会大学,"韦兰浸会大学,Wayland Baptist University"
伍斯特学院,"伍斯特学院,The College of Wooster,美国伍斯特学院,College of Wooster"
瓦萨尔学院,"瓦萨尔学院,Vassar College,瓦萨学院"
威廉姆斯学院,"威廉姆斯学院,Williams College"
威拉姆特大学,"威拉姆特大学,Willamette University"
威顿堡大学,"威顿堡大学,Wittenberg University"
威廉贾威尔学院,"威廉贾威尔学院,William Jewell College"
伍佛德学院,"伍佛德学院,Wofford College"
韦德纳大学,"韦德纳大学,Widener University"
韦伯斯特大学,"韦伯斯特大学,Webster University,美国韦伯斯特大学"
韦兰诺瓦大学,"韦兰诺瓦大学,Villanova University"
威斯康星大学奥什科什分校,"威斯康星大学奥什科什分校,University of Wisconsin-Oshkosh,University of Wisconsin-Oshkosh (Oshkosh)"
沃什特瑙社区学院,"沃什特瑙社区学院,Washtenaw Community College"
威斯康星大学密尔沃基分校,"威斯康星大学密尔沃基分校,University of Wisconsin-Milwaukee,University of Wisconsin,威斯康星大学(通常指威斯康辛大学麦迪逊分校)"
威奇塔州立大学,"威奇塔州立大学,Wichita State University"
温森斯大学,"温森斯大学,Vincennes University"
威斯康星大学斯托特分校,"威斯康星大学斯托特分校,University of Wisconsin-Stout,University of Wisconsin Stout"
沃希托浸会大学,"沃希托浸会大学,Ouachita Baptist University"
威顿学院（伊利诺伊州）,"威顿学院（伊利诺伊州）,Wheaton College"
瓦尔多斯塔州立大学,"瓦尔多斯塔州立大学,Valdosta State University,VSU,Valdosta State"
韦斯特菲尔德州立大学,"韦斯特菲尔德州立大学,Westfield State University"
韦伯国际大学,"韦伯国际大学,Webber International University,WIU"
伍德伯里大学,"伍德伯里大学,Woodbury University"
威斯康星医学院,"威斯康星医学院,The Medical College of Wisconsin"
温盖特大学,"温盖特大学,Wingate University,Wingate University (Wingate)"
威斯康星大学苏必利尔分校,"威斯康星大学苏必利尔分校,University of Wisconsin-Superior,University of Wisconsin,威斯康星大学(通常指威斯康辛大学麦迪逊分校),University of Wisconsin-Milwaukee"
沃巴什学院,"沃巴什学院,Wabash College,瓦巴什学院"
威廉姆斯浸会学院,"威廉姆斯浸会学院,Williams Baptist College"
伍德圣玛丽学院,"伍德圣玛丽学院,Saint Mary-of-the-Woods College"
卫理公会大学,"卫理公会大学,Methodist University"
维特博大学,"维特博大学,Viterbo University"
威斯康星大学欧克莱尔分校,"威斯康星大学欧克莱尔分校,University of Wisconsin-Eau Claire,UWEC"
威尔斯利学院,"威尔斯利学院,Wellesley College"
威廉伍德大学,"威廉伍德大学,William Woods University"
威诺纳州立大学,"威诺纳州立大学,Winona State University"
乌尔辛纳斯学院,"乌尔辛纳斯学院,Ursinus College"
威斯康星大学史蒂文分校,"威斯康星大学史蒂文分校,University of Wisconsin-Stevens Point,University of Wisconsin,威斯康星大学(通常指威斯康辛大学麦迪逊分校),University of Wisconsin-Milwaukee"
沃伦威尔逊学院,"沃伦威尔逊学院,Warren Wilson College"
威斯康星大学拉克罗斯分校,"威斯康星大学拉克罗斯分校,University of Wisconsin-La Crosse,University of Wisconsin La Crosse"
威斯康星大学白水分校,"威斯康星大学白水分校,University of Wisconsin-Whitewater,University of Wisconsin Whitewater"
沃尔什会计与工商管理学院,"沃尔什会计与工商管理学院,Walsh College of Accountancy and Business Administration"
乌尔苏拉学院,"乌尔苏拉学院,Ursuline College"
威顿学院（马萨诸塞州）,"威顿学院（马萨诸塞州）,Wheaton College (Massachusetts)"
伍斯特州立大学,"伍斯特州立大学,Worcester State University"
威斯康星大学普拉特维尔分校,"威斯康星大学普拉特维尔分校,University of Wisconsin-Platteville,UW–Platteville"
威斯康星大学绿湾分校,"威斯康星大学绿湾分校,University of Wisconsin-Green Bay"
威斯康星大学帕克赛德分校,"威斯康星大学帕克赛德分校,University of Wisconsin-Parkside,University of Wisconsin,威斯康星大学(通常指威斯康辛大学麦迪逊分校),University of Wisconsin-Milwaukee"
威斯康星大学河城分校,"威斯康星大学河城分校,University of Wisconsin-River Falls,University of Wisconsin,威斯康星大学(通常指威斯康辛大学麦迪逊分校),University of Wisconsin-Milwaukee"
卫斯理安学院,"卫斯理安学院,Wesleyan College"
韦伯州立大学,"韦伯州立大学,Weber State University,美国韦伯州立大学"
沃西本恩大学,"沃西本恩大学,Washburn University"
威斯康星路德学院,"威斯康星路德学院,Wisconsin Lutheran College"
温特沃斯理工学院,"温特沃斯理工学院,Wentworth Institute of Technology,WIT"
瓦伦西亚学院,"瓦伦西亚学院,Valencia college"
威廉杰瑟普大学,"威廉杰瑟普大学,William Jessup University,WJU"
威斯敏斯特神学院,"威斯敏斯特神学院,Westminster Theological Seminary"
西雅图城市大学,"西雅图城市大学,City University of Seattle"
西雅图电影学院,"西雅图电影学院,Seattle Film Institute"
西南俄克拉荷马州立大学,"西南俄克拉荷马州立大学,Southwestern Oklahoma State University"
希拉姆学院,"希拉姆学院,Hiram College"
锡耶纳高地大学,"锡耶纳高地大学,Siena Heights University"
席勒国际大学,"席勒国际大学,Schiller International University"
雪兰社区学院,"雪兰社区学院,Shoreline Community College,Evergreen State College"
西北密苏里州立大学,"西北密苏里州立大学,Northwest Missouri State University"
西佐治亚大学,"西佐治亚大学,University of West Georgia"
锡拉丘兹大学,"锡拉丘兹大学,Syracuse University"
夏威夷太平洋大学,"夏威夷太平洋大学,Hawaii Pacific University"
新英格兰视光学院,"新英格兰视光学院,The New England College of Optometry,New England College of Optometry"
西方学院,"西方学院,Occidental College,OXY"
西南社区学院,"西南社区学院,Southwestern Community College"
西部州长大学,"西部州长大学,Western Governors University"
新泽西威廉佩特森大学,"新泽西威廉佩特森大学,William Paterson University of New Jersey"
西部卫生科学大学,"西部卫生科学大学,Western University of Health Sciences"
锡耶拉学院,"锡耶拉学院,Sierra College"
西北拿撒勒大学,"西北拿撒勒大学,Northwest Nazarene University"
西加利福尼亚法学院,"西加利福尼亚法学院,California Western School of Law"
萧尔大学,"萧尔大学,Shaw University"
西南基督大学,"西南基督大学,Southwestern Christian University"
西北阿肯色社区学院,"西北阿肯色社区学院,Northwest Arkansas Community College"
西谷学院,"西谷学院,West Valley College"
西俄勒冈大学,"西俄勒冈大学,Western Oregon University,WOU"
夏威夷大学希罗分校,"夏威夷大学希罗分校,University of Hawaii at Hilo,美国夏威夷大学,University of Hawaii"
新泽西学院,"新泽西学院,The College of New Jersey"
谢伯德大学,"谢伯德大学,Shepherd University"
西北学院,"西北学院,Northwestern College,怀俄明西北学院,NWC,Northwest College"
西康涅狄格州立大学,"西康涅狄格州立大学,Western Connecticut State University"
西山学院科林加分校,"西山学院科林加分校,West Hills College Coalinga"
新佛罗里达学院,"新佛罗里达学院,New College of Florida"
夏洛特皇后大学,"夏洛特皇后大学,Queens University of Charlotte"
西雅图太平洋大学,"西雅图太平洋大学,Seattle Pacific University"
西敏斯特学院（密苏里州）,"西敏斯特学院（密苏里州）,Westminster College (Missouri)"
西敏斯特学院（犹他州）,"西敏斯特学院（犹他州）,Westminster College (Utah)"
西勒斯学院,"西勒斯学院,Citrus College"
西雅图中央社区学院,"西雅图中央社区学院,Seattle Central Community College"
西北太平洋艺术学院,"西北太平洋艺术学院,Pacific Northwest College of Art"
新墨西哥矿业技术学院,"新墨西哥矿业技术学院,New Mexico Institute of Mining and Technology"
西华盛顿大学,"西华盛顿大学,Western Washington University,西华大"
西蒙洛克巴德学院,"西蒙洛克巴德学院,Bard College at Simon‘s Rock"
西密苏里州立大学,"西密苏里州立大学,Missouri Western State University"
新墨西哥高地大学,"新墨西哥高地大学,New Mexico Highlands University"
夏威夷大学西欧胡分校,"夏威夷大学西欧胡分校,University of Hawaii at West Oahu,University of Hawaii, West Oahu"
辛普森大学,"辛普森大学,Simpson University"
锡达维尔大学,"锡达维尔大学,Cedarville University"
西北密歇根学院,"西北密歇根学院,Northwestern Michigan College"
西顿大学,"西顿大学,Seton Hall University"
西卡罗莱纳大学,"西卡罗莱纳大学,Western Carolina University,WCU"
西伊利诺伊大学,"西伊利诺伊大学,Western Illinois University"
西雅图中央学院,"西雅图中央学院,Seattle Central College"
休斯顿大学明湖分校,"休斯顿大学明湖分校,University of Houston-Clear Lake,University of Houston,休斯敦大学"
休斯顿大学市中心分校,"休斯顿大学市中心分校,University of Houston-Downtown,University of Houston,休斯敦大学"
休斯顿大学维多利亚分校,"休斯顿大学维多利亚分校,University of Houston-Victoria,University of Houston - Victoria"
锡耶纳学院,"锡耶纳学院,Siena College"
夏威夷东海国际学院,"夏威夷东海国际学院,Hawaii Tokai International College"
休斯敦社区学院,"休斯敦社区学院,Houston Community College"
西南基督复临大学,"西南基督复临大学,Southwestern Adventist University"
西新英格兰大学,"西新英格兰大学,Western New England University"
夏威夷大学马诺分校,"夏威夷大学马诺分校,University of Hawaii at Manoa,美国夏威夷大学,University of Hawaii"
新特格莱斯卡大学,"新特格莱斯卡大学,Sinte Gleska University"
西南法学院,"西南法学院,Southwestern Law School"
西达克瑞斯特学院,"西达克瑞斯特学院,Cedar Crest College"
西崖大学,"西崖大学,Westcliff University"
希尔学院,"希尔学院,Hill College"
休斯敦浸会大学,"休斯敦浸会大学,Houston Baptist University"
希尔斯堡社区学院,"希尔斯堡社区学院,Hillsborough Community College"
西北健康科学大学,"西北健康科学大学,Northwestern Health Sciences University"
休斯顿艺术学院,"休斯顿艺术学院,The Art Institute of Houston,Art Institute of Houston"
希望国际大学,"希望国际大学,Hope International University"
辛克莱社区学院,"辛克莱社区学院,Sinclair Community College"
新奥尔良大学,"新奥尔良大学,University of New Orleans,The University of New Orleans,UNO"
西佛罗里达大学,"西佛罗里达大学,The University of West Florida,University of West Florida,UWF"
西北州立大学,"西北州立大学,Northwestern State University"
新英格兰法学院,"新英格兰法学院,New England Law | Boston"
休斯顿大学,"休斯顿大学,The University of Houston,University of Houston,休斯敦大学"
新奥尔良洛约拉大学,"新奥尔良洛约拉大学,Loyola University New Orleans"
肖尼州立大学,"肖尼州立大学,Shawnee State University"
新泽西瑞曼波学院,"新泽西瑞曼波学院,Ramapo College of New Jersey"
西南浸会大学,"西南浸会大学,Southwest Baptist University"
西新墨西哥大学,"西新墨西哥大学,Western New Mexico University"
西洛杉矶大学,"西洛杉矶大学,University of West Los Angeles,The University of West Los Angeles"
新河社区学院,"新河社区学院,New River Community College"
西奈山伊坎医学院,"西奈山伊坎医学院,Icahn School of Medicine at Mount Sinai"
西南学院（堪萨斯州）,"西南学院（堪萨斯州）,Southwestern College"
西南明尼苏达州立大学,"西南明尼苏达州立大学,Southwest Minnesota State University"
新英格兰理工学院,"新英格兰理工学院,New England Institute of Technology"
西部大学,"西部大学,University of the West,University of Western States"
新英格兰学院,"新英格兰学院,New England College,University of New England,澳大利亚新英格兰大学"
西北大学（华盛顿州）,"西北大学（华盛顿州）,西北大學,西北大学新闻传播学院,NWU,Northwest University"
西德克萨斯农工大学,"西德克萨斯农工大学,West Texas A&M University"
新英格兰音乐学院,"新英格兰音乐学院,New England Conservatory of Music,The New England Conservatory of Music,NECM"
新学院,"新学院,The New School,New School University"
西自由大学,"西自由大学,West Liberty University"
西蒙斯大学,"西蒙斯大学,Simmons University"
先进技术大学,"先进技术大学,University of Advancing Technology"
西南俄勒冈社区学院,"西南俄勒冈社区学院,Southwestern Oregon Community College"
西南上帝会大学,"西南上帝会大学,Southwestern Assemblies of God University"
新泽西城市大学,"新泽西城市大学,New Jersey City University"
峡谷学院,"峡谷学院,College of the Canyons"
西阿拉巴马大学,"西阿拉巴马大学,University of West Alabama,The University of West Alabama,UWA"
伊利诺伊学院,"伊利诺伊学院,Illinois College"
印第安纳大学布鲁明顿分校,"印第安纳大学布鲁明顿分校,Indiana University Bloomington"
亚当斯州立大学,"亚当斯州立大学,Adams State University"
伊克塞尔希尔学院,"伊克塞尔希尔学院,Excelsior College"
尤蒂卡学院,"尤蒂卡学院,Utica College"
伊利诺伊大学春田分校,"伊利诺伊大学春田分校,University of Illinois at Springfield"
伊曼纽尔学院（马萨诸塞州）,"伊曼纽尔学院（马萨诸塞州）,Emmanuel College"
盐湖城社区学院,"盐湖城社区学院,Salt Lake Community College"
印第安纳大学西北分校,"印第安纳大学西北分校,Indiana University Northwest"
印第安纳卫斯里大学,"印第安纳卫斯里大学,Indiana Wesleyan University"
约翰帕特里克健康与应用科学大学,"约翰帕特里克健康与应用科学大学,John Patrick University of Health and Applied Sciences"
伊雷尔与马内拉希望之城生物科学研究生院,"伊雷尔与马内拉希望之城生物科学研究生院,Irell & Manella Graduate School of Biological Sciences at City of Hope"
印第安纳波利斯大学,"印第安纳波利斯大学,University of Indianapolis,美国印第安纳波利斯大学,The University of Indianapolis,UIndy"
约翰伍德社区学院,"约翰伍德社区学院,John Wood Community College"
伊萨卡学院,"伊萨卡学院,Ithaca College"
印第安纳大学-普渡大学韦恩堡分校,"印第安纳大学-普渡大学韦恩堡分校,Indiana University - Purdue University Fort Wayne,Indiana University Purdue University Fort Wayne"
亚利桑那州立大学雷鸟国际管理学院,"亚利桑那州立大学雷鸟国际管理学院,Thunderbird School of Global Management, Arizona State University,ASU,Arizona State University"
伊丽莎白城市州立大学,"伊丽莎白城市州立大学,Elizabeth City State University"
鹰眼社区学院,"鹰眼社区学院,Hawkeye Community College"
艺术中心设计学院,"艺术中心设计学院,Art Center College of Design,美国艺术中心设计学院,ACCD,Art Center"
约瑟夫农宗座学院,"约瑟夫农宗座学院,The Pontifical College Josephinum"
扬斯敦州立大学,"扬斯敦州立大学,Youngstown State University"
依隆大学,"依隆大学,Elon University"
伊利社区学院,"伊利社区学院,Erie Community College"
约翰逊威尔士大学,"约翰逊威尔士大学,Johnson & Wales University,约翰逊与威尔士大学,JWU"
伊凡斯维尔大学,"伊凡斯维尔大学,University of Evansville,UE,埃文斯维尔大学"
伊利诺伊州立大学,"伊利诺伊州立大学,Illinois State University,美国伊利诺斯州立大学,伊利诺州大学"
印第安纳大学-普渡大学印第安纳波利斯分校,"印第安纳大学-普渡大学印第安纳波利斯分校,Indiana University Purdue University at Indianapolis,Indiana University–Purdue University Indianapolis"
约翰卡罗尔大学,"约翰卡罗尔大学,John Carroll University"
印第安纳大学东部分校,"印第安纳大学东部分校,Indiana University East"
印第安纳大学南本德分校,"印第安纳大学南本德分校,Indiana University South Bend,Indiana University South Bend (South Bend)"
约翰逊郡社区学院,"约翰逊郡社区学院,Johnson County Community College"
犹他山谷大学,"犹他山谷大学,Utah Valley University"
伊利诺伊卫斯理大学,"伊利诺伊卫斯理大学,Illinois Wesleyan University,IWU"
杨百翰大学夏威夷分校,"杨百翰大学夏威夷分校,Brigham Young University-Hawaii,Brigham Young University,BYU"
约翰逊大学,"约翰逊大学,Johnson University"
伊马库雷塔大学,"伊马库雷塔大学,Immaculata University"
约瑟夫宗教学院,"约瑟夫宗教学院,Pontifical College Josephinum"
银行街教育学院,"银行街教育学院,Bank Street College of Education"
伊丽莎白城学院,"伊丽莎白城学院,Elizabethtown College"
印第安纳大学科科莫分校,"印第安纳大学科科莫分校,Indiana University Kokomo"
雅典州立大学,"雅典州立大学,Athens State University"
尤肯国际大学,"尤肯国际大学,Eucon International University"
音乐家学院,"音乐家学院,Musicians Institute"
杨百翰大学爱达荷分校,"杨百翰大学爱达荷分校,Brigham Young University - Idaho,Brigham Young University,BYU"
约翰布朗大学,"约翰布朗大学,John Brown University,JBU"
印第安河州立学院,"印第安河州立学院,Indian River State College"
亚特兰大艺术学院,"亚特兰大艺术学院,The Art Institute of Atlanta"
约翰逊C.史密斯大学,"约翰逊C.史密斯大学,Johnson C.Smith University"
中密歇根大学,"中密歇根大学,Central Michigan University"
詹姆斯麦迪逊大学,"詹姆斯麦迪逊大学,James Madison University"
泽维尔大学,"泽维尔大学,Xavier University"
中华盛顿大学,"中华盛顿大学,Central Washington University"
芝加哥哥伦比亚学院,"芝加哥哥伦比亚学院,Columbia College Chicago"
中西州立大学,"中西州立大学,Midwestern State University"
佐治亚南方大学,"佐治亚南方大学,Georgia Southern University"
中密歇根学院,"中密歇根学院,Mid Michigan College"
中西大学,"中西大学,Midwestern University"
佐治亚学院暨州立大学,"佐治亚学院暨州立大学,Georgia College & State University"
棕榈滩大西洋大学,"棕榈滩大西洋大学,Palm Beach Atlantic University,Palm Beach Atlantic University-West Palm Beach"
芝加哥州立大学,"芝加哥州立大学,Chicago State University"
中央弗吉尼亚州社区学院,"中央弗吉尼亚州社区学院,Central Virginia Community College"
职业高尔夫球手职业学院,"职业高尔夫球手职业学院,Professional Golfers Career College"
中央州立大学,"中央州立大学,Central State University"
中俄克拉荷马大学,"中俄克拉荷马大学,University of Central Oklahoma"
长岛商学院,"长岛商学院,Long Island Business Institute"
茱莉亚音乐学院,"茱莉亚音乐学院,The Juilliard School"
中佐治亚州立大学,"中佐治亚州立大学,Middle Georgia State University"
中田纳西州立大学,"中田纳西州立大学,Middle Tennessee State University"
自由大学,"自由大学,Liberty University"
佐治亚西南州立大学,"佐治亚西南州立大学,Georgia Southwestern State University"
长岛大学,"长岛大学,Long Island University,美国长岛大学"
中北大学（明尼苏达州）,"中北大学（明尼苏达州）,North Central University,中北,华北工学院,太原机械学院,NUC,山西中北大学,North University of China"
中密苏里大学,"中密苏里大学,University of Central Missouri"
正道福音神学院,"正道福音神学院,Logos Evangelical Seminary"
芝加哥艺术学院,"芝加哥艺术学院,School of the Art Institute of Chicago"
朱尼亚塔学院,"朱尼亚塔学院,Juniata College"
中阿肯色大学,"中阿肯色大学,University of Central Arkansas"
芝加哥职业心理学院,"芝加哥职业心理学院,The Chicago School of Professional Psychology"
中西部大学,"中西部大学,Midwest University,Midwestern University"
中康涅狄格州立大学,"中康涅狄格州立大学,Central Connecticut State University"
长老会学院,"长老会学院,Presbyterian College"
芝加哥城市学院哈罗德华盛顿学院,"芝加哥城市学院哈罗德华盛顿学院,City Colleges of Chicago, Harold Washington College,City Colleges of Chicago"
中央皮特蒙特社区学院,"中央皮特蒙特社区学院,Central Piedmont Community College"
中美拿撒勒大学,"中美拿撒勒大学,MidAmerica Nazarene University"
中央学院,"中央学院,Central College"
爱德华多·孟德兰大学,"爱德华多·孟德兰大学,Universidade Eduardo Mondlane"
奥托奇·曼兰巴大学,"奥托奇·曼兰巴大学,OTOCH MANRAMBA UNIVERSITY"
奥肯大学,"奥肯大学,Orkhon University"
奥特根腾格尔大学,"奥特根腾格尔大学,Otgontenger University"
财经大学,"财经大学,University of Finance and Economics"
CITI大学,"CITI大学,CITI University,美国大学,AU,American University"
电影艺术学院,"电影艺术学院,Cinematography Institute"
大札撒国际大学,"大札撒国际大学,Ikh Zasag International University"
皇家国际大学,"皇家国际大学,Royal International University"
环球领袖大学,"环球领袖大学,Global Leadership University"
教育文化法学院,"教育文化法学院,Education Culture Law Institute"
加扎尔钦学院,"加扎尔钦学院,Gazarchin Institute"
蒙古内务大学,"蒙古内务大学,University of Internal Affairs"
蒙古伊德大学,"蒙古伊德大学,Mongolia Ider University"
蒙古额图根大学,"蒙古额图根大学,Mongolia Etugen University"
蒙古工程技术学院,"蒙古工程技术学院,Mongolia Institute of Engineering and Technology"
蒙古国际大学,"蒙古国际大学,Mongolia International University"
蒙古民族大学,"蒙古民族大学,Mongolian National University"
蒙古药科大学,"蒙古药科大学,Mongolian University of Pharmaceutical Sciences"
蒙古国立文化艺术大学,"蒙古国立文化艺术大学,Mongolian National University of Arts and Culture"
蒙古国立音乐学院,"蒙古国立音乐学院,Mongolian State Conservatory"
蒙古科技大学,"蒙古科技大学,Mongolian University of Science and Technology"
蒙古国立教育大学,"蒙古国立教育大学,Mongolian National University of Education"
蒙古国立医科大学,"蒙古国立医科大学,Mongolian National University of Medical Sciences"
蒙古生命科学大学,"蒙古生命科学大学,Mongolian University of Life Sciences"
蒙古研究大学,"蒙古研究大学,Graduate University of Mongolia"
蒙古国防大学,"蒙古国防大学,Mongolian National Defence University"
人文大学,"人文大学,University of the Humanities"
三宝师范学院,"三宝师范学院,Gurvan-Erdene Teacher‘s College"
乌兰巴托国际大学,"乌兰巴托国际大学,International University of Ulaanbaatar"
乌兰巴托额尔德木大学,"乌兰巴托额尔德木大学,Ulaanbaatar Erdem University"
音乐舞蹈学院,"音乐舞蹈学院,Music and Dance College"
中蒙联合国际大学,"中蒙联合国际大学,International University of China and Mongolia"
马尔代夫国立大学,"马尔代夫国立大学,The Maldives National University"
奥林匹亚学院,"奥林匹亚学院,Olympia College"
阿布卡里国际大学,"阿布卡里国际大学,Albukhary International University"
ALFA学院,"ALFA学院,ALFA College,AmericaAcademic,American College"
北吉隆坡国际学院,"北吉隆坡国际学院,Northern Kuala Lumpur International College"
槟城技能发展中心,"槟城技能发展中心,Penang Skills Development Centre"
博特拉商学院,"博特拉商学院,Putra Business School"
毕理学院,"毕理学院,Methodist Pilley Institute"
八打灵再也斯坦福学院,"八打灵再也斯坦福学院,Stamford College Petaling Jaya"
布里克菲尔德亚洲学院,"布里克菲尔德亚洲学院,Brickfields Asia College"
北婆罗洲大学学院,"北婆罗洲大学学院,North Borneo University College"
波德申工艺学院,"波德申工艺学院,Politeknik Port Dickson"
成功礼待大学学院,"成功礼待大学学院,BERJAYA University College"
城市大学,"城市大学,City University"
测绘大学学院,"测绘大学学院,Geomatika University College"
多媒体大学,"多媒体大学,Multimedia University,MMU"
敦阿都拉萨大学,"敦阿都拉萨大学,Universiti Tun Abdul Razak"
第一城市大学学院,"第一城市大学学院,First City University College"
敦拉萨国际大学,"敦拉萨国际大学,UNITAR International University"
第一工艺学院,"第一工艺学院,Pertama Institute of Technology"
国家能源大学,"国家能源大学,Universiti Tenaga Nasional"
国际医科大学,"国际医科大学,International Medical University"
韩江传媒大学学院,"韩江传媒大学学院,Han Chiang University College of Communication"
精英学院,"精英学院,HELP Academy"
精英大学,"精英大学,HELP University"
吉隆坡都市大学学院,"吉隆坡都市大学学院,Kuala Lumpur Metropolitan University College"
吉隆坡建设大学,"吉隆坡建设大学,Infrastructure University Kuala Lumpur"
奎斯特国际大学,"奎斯特国际大学,Quest International University"
莱佛士大学,"莱佛士大学,Raffles University"
立万国际美术学院,"立万国际美术学院,The One Academy of Communication Design"
拉曼大学学院,"拉曼大学学院,Tunku Abdul Rahman University College"
拉曼大学,"拉曼大学,Universiti Tunku Abdul Rahman"
林登大学学院,"林登大学学院,Linton University College"
林国荣创意科技大学,"林国荣创意科技大学,Limkokwing University of Creative Technology"
林国荣行政领导学院,"林国荣行政领导学院,Limkokwing Executive Leadership College"
利亚学院,"利亚学院,Ri-Yaz College"
立肯学院,"立肯学院,Erican College"
马六甲斯里斯坦福学院,"马六甲斯里斯坦福学院,Seri Stamford College Melaka"
马来西亚科技大学,"马来西亚科技大学,Malaysia University of Science and Technology"
马来西亚海事学院,"马来西亚海事学院,Malaysian Maritime Academy"
马来西亚双德科技大学,"马来西亚双德科技大学,Twintech International University College of Technology"
马来西亚国立大学,"马来西亚国立大学,Universiti Kebangsaan Malaysia"
马来西亚沙捞越大学,"马来西亚沙捞越大学,Universiti Malaysia Sarawak,UNIMAS"
马来西亚敦胡先翁大学,"马来西亚敦胡先翁大学,Universiti Tun Hussein Onn Malaysia"
马来西亚伊斯兰科学大学,"马来西亚伊斯兰科学大学,Universiti Sains Islam Malaysia"
马来西亚管理学院,"马来西亚管理学院,Malaysian Institute of Management"
玛莎大学,"玛莎大学,MAHSA University"
玛尼帕尔国际大学,"玛尼帕尔国际大学,Manipal International University"
马来亚-威尔士国际大学,"马来亚-威尔士国际大学,International University of Malaya-Wales"
麦地那国际大学,"麦地那国际大学,Al-Madinah International University"
马来西亚商学院,"马来西亚商学院,Malaysian Integrated Business College"
马来西亚马六甲技术大学,"马来西亚马六甲技术大学,Universiti Teknikal Malaysia Melaka"
马六甲大学,"马六甲大学,University of Melaka"
马来西亚艺术学院,"马来西亚艺术学院,Malaysian Institute of Art"
南方大学学院,"南方大学学院,Southern University College"
彭亨教育基金大学学院,"彭亨教育基金大学学院,University College of Yayasan Pahang,University College of Yayasan Pahang (UCYP)"
普渡国际学院,"普渡国际学院,Putra International College"
汝莱大学,"汝莱大学,Nilai University"
世纪大学,"世纪大学,SEGi University"
世纪学院吉隆坡校区,"世纪学院吉隆坡校区,SEGi College Kuala Lumpur"
首要大学,"首要大学,Perdana University"
沙捞越科技大学,"沙捞越科技大学,University of Technology Sarawak,University College of Technology Sarawak"
苏丹阿卜杜拉哈林姆阿让沙理工学院,"苏丹阿卜杜拉哈林姆阿让沙理工学院,Politeknik Sultan Abdul Halim Mu‘adzam Shah"
世纪学院梳邦再也校区,"世纪学院梳邦再也校区,SEGi College Subang Jaya"
